S. NO.,DISTRICT,SCHOOL LIST,DEPARTMENT,ADDRESS
2497,KUSHINAGAR,"RAJKEEY KANYA INTER COLLEGE PADRAUNA, KUSHI NAGAR",Basic Education,Kushinagar
2498,KUSHINAGAR,"RAJKEEY KANYA INTER COLLEGE HATA, KUSHI NAGAR",Basic Education,Village Chittauni Kop Musahar Toll Khadda Kushinagar
2499,KUSHINAGAR,ANNAPOORNA INTER COLLEGE GURWALIYA KUSHI NAGAR  ,Basic Education,Rudrapur Bhujawali Market Kashinagar
2500,KUSHINAGAR,KISAN INTER COLLEGE PIPRABAJAR KUSHI NAGAR,Basic Education,Dargauli Khadakushinagar
2501,KUSHINAGAR,JANTA INTER COLLEGE CAPTANGANJ KUSHI NAGAR,Basic Education,Village Hanumanganj Khaddakushinagar
2502,KUSHINAGAR,"RASHTREEY INTER COLLEGE BHUJAULI PRAMUKH, KUSHI NAGAR",Basic Education,Ward 6 Khaddakushinagar
2503,KUSHINAGAR,UDIT NARAYAN INTER COLLEGE PADRAUNA KUSHI NAGAR,Basic Education,JHS Hanumanganj Village Hanumanganj Khaddakushinagar
2504,KUSHINAGAR,RAYOBAYI KAMLA DEVI TIBDEVAL KANYA INTER COLLEGE PADRAUNA KUSI NAGAR,Basic Education,Chatuchhapra PostMathia Khaddakushinagar
2505,KUSHINAGAR,JANTA INTER COLLEGE RAMKOOLA KUSHI NAGAR,Basic Education,Village Bhujauli Market Post Bhujauli Market Khadda Kushinagar
2506,KUSHINAGAR,"NEHRU INTER COLLEGE MANSACHHAPAR, KUSHI NAGAR",Basic Education,Village Bhedi Jungle Barwaratanpur Khaddakushinagar
2507,KUSHINAGAR,SHRI KRISHNA INTER COLLEGE SEMRA KATHKUYA KUSHI NAGAR,Basic Education,JHS Pipariya Khaddakushinagar
2508,KUSHINAGAR,PAVANAGAR MAHAVER INTER COLLEGE FAJIL NAGAR KUSHI NAGAR,Basic Education,Jakhiniya Khaddakushinagar
2509,KUSHINAGAR,LOKMANYA INTER COLLEGE JANKEE NAGAR SEVRAHI KUSHI NAGAR,Basic Education,Ward No. 1 Nagar Panchayat
2510,KUSHINAGAR,"MAHATMA GANDHI INTER COLLEGE SAKHVANIYA, KUSHI NAGAR",Basic Education,Saraiyakhurd
2511,KUSHINAGAR,INTER COLLEGE TURKPATTI MAHUWA KUSHI NAGAR ,Basic Education,Parsauni Elder
2512,KUSHINAGAR,FATEHMEMORIYAL INTER COLLEGE TAMKUHIRAJ KUSHI NAGAR,Basic Education,Sumahi Sant Patti
2513,KUSHINAGAR,NAVJEEVAN INTER COLLEGE PATEHRAVA KUSHI NAGAR,Basic Education,Taraiya Sujan
2514,KUSHINAGAR,JITENDRA SMARAK INTER COLLEGE NARAYANPUR KOOTHI KUSHI NAGAR,Basic Education,tarya beautiful
2515,KUSHINAGAR,JANTA INTER COLLEGE SOHANG KUSHI NAGAR,Basic Education,Gopalpur
2516,KUSHINAGAR,"INTER COLLEGE JAURABAJAR, KUSHI NAGAR",Basic Education,Jawahi Dayal
2517,KUSHINAGAR,ASHOK VIDHYAPITH INTER COLLEGE NAKTAHA MISHRA KUSHI NAGAR,Basic Education,Junior High School Madhopur Gauri Shriram
2518,KUSHINAGAR,NEHRU INTER COLLEGE TARYASUJAN KUSHI NAGAR,Basic Education,junior high school dudhi
2519,KUSHINAGAR,BUDH INTER COLLEGE KUSHI NAGAR,Basic Education,Junior High School Vijayapur Uttarpatti
2520,KUSHINAGAR,KISAN INTER COLLEGE SAKHOPAR KUSHI NAGAR,Basic Education,Junior High School Pipra Jatampur
2521,KUSHINAGAR,"SHATRUGHANJEET NARENDRA PRATAP GANNA K. I. C. SIGHA, KUSHI NAGAR",Basic Education,Junior High School Siswa Mathia
2522,KUSHINAGAR,GANDHI SMARAK INTER COLLEGE HATA KUSHI NAGAR,Basic Education,K Junior High School Matihania Buzurg
2523,KUSHINAGAR,NEHRU INTER COLLEGE SEMRI SUKRAULI KUSHI NAGAR,Basic Education,Junior High School Sadi Khurd
2524,KUSHINAGAR,"JANTA INTER COLLEGE SIRSIYA NO. 2, KUSHI NAGAR",Basic Education,Junior High School Shivpur Buzurg
2525,KUSHINAGAR,SHRI GANGA BAKS KANNAUDIYA GANDHI INTER COLLEGE CAPTANGANJ KUSHI NAGAR,Basic Education,Junior High School Kalyan Chhapar
2526,KUSHINAGAR,"PANCHAYAT INTER COLLEGR BODERVAR, KUSHI NAGAR",Basic Education,"Junior High School, Bhavpur"
2527,KUSHINAGAR,JANTA INTER COLLEGE SOHSA MUTHIYA KUSHI NAGAR,Basic Education,Junior High School Siswa Digar
2528,KUSHINAGAR,HARIRAM OMKAR MALL KHETAN INTER COLLEGE LAXMIGANJ KUSHI NAGAR,Basic Education,junior high school armband
2529,KUSHINAGAR,GANDHI INTER COLLEGE KHADDA KUSHI NAGAR,Basic Education,Junior High School Eskenwar Baklolahi 1 to 8 Composite
2530,KUSHINAGAR,SHRI GANDHI KISHAN INTER COLLEGE KHADDA KUSHI NAGAR,Basic Education,Junior High School Siswa Gopal
2531,KUSHINAGAR,CHHITAUNI INTER COLLEGE CHHITAUNI KUSHI NAGAR,Basic Education,Junior High School Vishnupura Khairhawa Tola
2532,KUSHINAGAR,JANTA INTER COLLEGE KOTAWA KALA KUSHI NAGAR ,secondary education,Kushinagar
2533,KUSHINAGAR,SUBHASH INTER COLLEGE BEDUPAR TURKDEEH KUSHI NAGAR,secondary education,Dhaurahra Kushinagar
2534,KUSHINAGAR,KRASHAK INTER COLLEGE MALLUDHIH KUSHI NAGAR,secondary education,Dhuria Kushinagar
2535,KUSHINAGAR,HANUMAN INTER COLLEGE PADRAUNA KUSHI NAGAR,secondary education,Kushinagar
2536,KUSHINAGAR,MAHARSHI BALMEEK INTER COLLEGE PIPRAICHA KUSHI NAGAR,secondary education,Dilipnagar Kushinagar
2537,KUSHINAGAR,COMPOSIT SCHOOL MISHRAULI KUSHI NAGAR,secondary education,Padrauna Kushigar
2538,KUSHINAGAR,KASTURBA GANDHI AVASIY BALIKA VIDHYALAY KHADDA KUSHI NAGAR,secondary education,Pateharwa Kushinagar
2539,KUSHINAGAR,COMPOSIT SCHOOL AHIRAULIDAN KUSHI NAGAR,secondary education,Kusumha Kushinagar
2540,KUSHINAGAR,KASTURBA GANDHI AVASIY BALIKA VIDHYALAY SEVRAHI KUSHI NAGAR,secondary education,Kuveranaath Kushinagar
2541,KUSHINAGAR,COMPOSIT SCHOOL BANSGANV KHAIRAV KUSHI NAGAR,secondary education,Vijaypur Kushinagar
2542,KUSHINAGAR,KASTURBA GANDHI AVASIY BALIKA VIDHYALAY DUDAHI KUSHI NAGAR,secondary education,Basdila Pandey
2543,KUSHINAGAR,COMPOSIT SCHOOL SEMRAHARDE KUSHI NAGAR,secondary education,Mathiya Shriram Kushinagar
2544,KUSHINAGAR,KASTURBA GANDHI AVASIY BALIKA VIDHYALAY KHIRKIYA PADRAUNA KUSHI NAGAR,secondary education,Gandar Bindwalia
2545,KUSHINAGAR,KASTURBA GANDHI AVASIY BALIKA VIDHYALAY TAMKUHI KUSHI NAGAR,secondary education,Kushinagar
2546,KUSHINAGAR,KASTURBA GANDHI AVASIY BALIKA VIDHYALAY RAMKOLA KUSHI NAGAR,secondary education,Manikaura Kushinagar
2548,Lakhimpurkheri,RAJKIYA INTER COLLEGE LAKHIMPUR,Basic Education,Pvt.V.Oil
2549,Lakhimpurkheri,RAJKIYA KANYA INTER COLLEGE LAKHIMPUR,Basic Education,Pvt Ichchharampurwa
2550,Lakhimpurkheri, RAJKIYA KANYA INTER COLLEGE KHIRI TOWN,Basic Education,Primary School Khagaipurva
2551,Lakhimpurkheri,RAJKIYA INTER COLLEGE SARDA NAGAR,Basic Education,P.V. Gum
2552,Lakhimpurkheri,RAJKIYA INTER COLLEGE DHAURHRA,Basic Education,P.V. Jigniya
2553,Lakhimpurkheri,RAJKIYA KANYA INTER COLLEGE DHAURHRA,Basic Education,Primary School Rehriakala
2554,Lakhimpurkheri,RAJKIYA KANYA INTER COLLEGE NIGHASAN,Basic Education,PRIMARY VIDYA SARAI SURAT
2555,Lakhimpurkheri,RAJKIYA KANYA INTER COLLEGE MOHAMMDI,Basic Education,Primary School Sherpur
2556,Lakhimpurkheri,ADARSH JANTA INTER COLLEGE DEVKALI,Basic Education,UP PRIMARY VIDYA BEHJAM
2557,Lakhimpurkheri, BHAGVANDEEN A.K INTER COLLEGE LAKHEEMPUR,Basic Education,P.V. Ratasia
2558,Lakhimpurkheri,JANTA INTER COLLEGE LAGHUCHA,Basic Education,Pvt Kataiya
2559,Lakhimpurkheri,JILA P.INTER COLLEGE KALAAAM,Basic Education,Primary School Daudpur
2560,Lakhimpurkheri,GANDHI V. INTER COLLEGE LAKHEEMPUR KHEERI,Basic Education,Pvt.V.Bijua
2561,Lakhimpurkheri,DHARMSABHA INTER COLLEGE LAKHEEMPUR KHEERI,Basic Education,Primary School Revatipurva
2562,Lakhimpurkheri,SHRI NEHRU SIKSHA NIKETAN INTER COLLEGE SAMRA BAJAR,Basic Education,Primary School Hafizpur
2563,Lakhimpurkheri,U.D. INTER COLLEGE OYAL,Basic Education,Primary School Raghunathpur 1
2564,Lakhimpurkheri,KRISHAK SAMAJ INTER COLLEGE GOLA,Basic Education,Pvt. Kasta Colony
2565,Lakhimpurkheri,SHRI LAL BAHADUR SHASTRI INTER COLLEGE GOLA,Basic Education,P.V. Sisayya Kalan
2566,Lakhimpurkheri,P. INTER COLLEGE GOLA,Basic Education,Primary School Rambatti
2567,Lakhimpurkheri,SHRI LAL BAHADUR SHASTRI INTER COLLEGE MAILANI,Basic Education,Merger Vs. Dhaurahra
2568,Lakhimpurkheri,ZILA PANCHAYAT INTER COLLEGE BHEERA,Basic Education,Merger vs Samarda Change
2569,Lakhimpurkheri,JILA P. INTER COLLEGE BIJUA,Basic Education,Pvt. V. Dihuakalan
2570,Lakhimpurkheri,J.P. INTER COLLEGE MOHAMMDI,Basic Education,S.V. Laljipurva
2571,Lakhimpurkheri,P.D.BH.INTER COLLEGE MOHAMMADI ,Basic Education,Uttar Pradesh Kataiya
2572,Lakhimpurkheri,CRAIN GROVE  INTER COLLEGE J B GANJ,Basic Education,U.P.V. Daudpur
2573,Lakhimpurkheri,BHARTEEY INTER COLLEGE MAIGALGANJ,Basic Education,U.P.V. Nausragularia
2574,Lakhimpurkheri,JILA P. INTER COLLEGE AURANGABAAD,Basic Education,U.P.S. Manjhasumali
2575,Lakhimpurkheri,B.B.L.C. INTER COLLEGE KHAMARIYA,Basic Education,S.V. Gaudhi
2576,Lakhimpurkheri,P. INTER COLLEGE ISHANAGAR,Basic Education,S.V. Sainapur
2577,Lakhimpurkheri,JILA P. INTER COLLEGE JATPURVA,Basic Education,U.P.V. Goom
2578,Lakhimpurkheri,MAHARAJA AGRASEN INTER COLLEGE TIKUNIYA,Basic Education,UP School Phoolbehad Boys
2579,Lakhimpurkheri,RAMADHEEN INTER CLLEGE BAMHANPUR,Basic Education,U.P.V. Srinagar
2580,Lakhimpurkheri,JILA P. INTER COLLEGE NIGHASAN,Basic Education,University of Indranagar
2581,Lakhimpurkheri,RAJA V. PRA.SH. INTER COLLEGE SINGAHI,Basic Education,University Lailunnagar
2582,Lakhimpurkheri,JILA P. INTER COLLEGE KASTA,Basic Education,S.V. Mahurena
2583,Lakhimpurkheri,RAJA LONE S. INTER COLLEGE MITAULI,secondary education,Government High School Gyansinghpurwa
2584,Lakhimpurkheri,KISAN INTER COLLEGE NEEMGAAV,secondary education,Dharam Sabha Inter College
2585,Lakhimpurkheri,P. INTER COLLEGE SAMPOORNANAGAR,secondary education,Bhagawan Deen Arya Kanya Inter College
2586,Lakhimpurkheri,BALDEV V.INTER COLLEGE PALIA,secondary education,Pandit Deen Dayal Upadhyaya Saraswati Vidya Mandir E.C.
2587,Lakhimpurkheri,JILA PT. KANYA INTER COLLEGE PALIYA,secondary education,P.D. Bharti I.K. Mohammadi
2588,Lakhimpurkheri,"P. S . BAUTHA, LAKHIMPUR KHERI",secondary education,B.B.L.C. of Khamhariya
2589,Lakhimpurkheri,"P. S. SAMDAHA, LAKHIMPUR KHERI",secondary education,Government Inter College Dhaurahra
2590,Lakhimpurkheri,"U. P. S. BAJHEDA, LAKHIMPUR KHERI",secondary education,Government Girls I.C. Nighasan
2591,Lakhimpurkheri,"P. S., SARAIYAKALA, LAKHIMPUR KHERI",secondary education,Goverdhan Lal Inter College Banikapurwa
2592,Lakhimpurkheri,"P. S., NAURANGABAD, LAKHIMPUR KHERI",secondary education,"Dr. Bhimrao Ambedkar Inter College, Lakhimpur Kheri"
2593,Lakhimpurkheri,"P. S. NARHAR, LAKHIMPUR KHERI",secondary education,Baldev Baidik I.C. Palia
2594,Lakhimpurkheri,"U. P. S. DEVIPUR , LAKHIMPUR KHERI",secondary education,District Panchayat Girls I.C. Palia
2595,Lakhimpurkheri,"U. P. S. BILHAURI, LAKHIMPUR KHERI ",secondary education,K.A.U.K. Inter College Padariya Tula
2596,Lakhimpurkheri,"P. S. BELVAPURVA, LAKHIMPUR KHERI",secondary education,Savitri Devi Desraj Singh Inter College
2597,Lakhimpurkheri,"U. P. S.  AHAMADNAGAR, LAKHIMPUR KHERI",secondary education,Yuvraj Dutt Inter College Oyal
2599,Lalitpur,GOVT I C LALITPUR ,Basic Education,senior primary school bhadru
2600,Lalitpur,GOVT BALIKA I C TOWN ,Basic Education,primary school kaniriya
2601,Lalitpur,SHREE VARNEEJAIN I C ,Basic Education,primary school khaukhar
2602,Lalitpur,SHREE P N I C ,Basic Education,Primary School Kuchadon
2603,Lalitpur,NAGAR PALIKA BALIKA I C ,Basic Education,senior primary school kumrao
2604,Lalitpur,GOVT  I C JAKHIRA,Basic Education,senior primary school mamlar
2605,Lalitpur,INTERMEDITED COLLAGE VASHI ,Basic Education,Upper Primary School Tisgana Composite
2606,Lalitpur,GOVT HIGH SCHOOL DAILVARA,Basic Education,primary school malar
2607,Lalitpur,GOVT HIGH SCHOOL DAVANI,Basic Education,Upper Primary School Rukhwaha Composite
2608,Lalitpur,GOVT HIGH SCHOOL  NIVAI ,Basic Education,Upper Primary School Gunkhuru Samad
2609,Lalitpur,"JAWAHAR NAVODHYA VIDHYALAY, DELWARA, LALITPUR",Basic Education,Composite School Naveen Kurora
2610,Lalitpur,GOVT HIGH SCHOOL THANVAR,Basic Education,Primary Junior School Khushipura Pachaura
2611,Lalitpur,GOVT HIGH SCHOOL KUMHAIDEE,Basic Education,primary school new bandesara
2612,Lalitpur,GOVT HIGH SCHOOL PATHA,Basic Education,senior primary school rampur
2613,Lalitpur,GOVT HIGH SCHOOL GAUNA KUSHMADA,Basic Education,Upper Primary School Composite 12th
2614,Lalitpur,GOVT HIGH SCHOOL SADHUMAL ,Basic Education,Primary School & Upper Primary School Bandesara Composite 12th
2615,Lalitpur,GOVT GIRL I C MAHRUNII,Basic Education,senior primary school daulata
2616,Lalitpur,SHREE SHANTI NIKATAN I C MAHRUNI ,Basic Education,Composite Primary School and Upper Primary School Dongarakhud
2617,Lalitpur,SHREE C V GUPTA I C MAHRUNI ,Basic Education,J.H.S.S. Amarpur
2618,Lalitpur,MAHA MANA MADAN MOHAN MALVIYA I C GUDA ,Basic Education,higher primary school khajra bar
2619,Lalitpur,GOVT GIRL I C TALVEHUT ,Basic Education,J.H.S.C. Baswan
2620,Lalitpur,GOVT I C MATATEELA ,Basic Education,Ju.H.Sc.Nadanwara
2621,Lalitpur,GOVT H S PURA VIRDHA ,Basic Education,J.H.S.K. snag
2622,Lalitpur,GOVT H S SUNORI KHEDA ,Basic Education,JHU Khadobra
2623,Lalitpur,VIDAANVADINI AWASIYA VIDHYALAY TARAIFATAK LALITPUR,Basic Education,J.H.S.K. Gora
2624,Lalitpur,RAJKIYA ASHRAM PADHITYA I C TALBEHUT ,Basic Education,J.H.S.C. Pachauni
2625,Lalitpur,SHREE MARDAN SINGH I C TALBEHUT ,Basic Education,J.H.S.C.Bamhorikala
2626,Lalitpur,GOVT I C WARA,Basic Education,J.H.S.K. Khadesh
2627,Lalitpur,GOVT HIGH SCHOOL NAGARA,Basic Education,J.H.S.C. Budhwar
2628,Lalitpur,GOVT HIGH SCHOOL BANUNI ,Basic Education,J.H.S.S.Davani
2629,Lalitpur,GOVT HIGH SCHOOL VASTRAYAN ,Basic Education,JUH 10 SCHOOL MASAURAH KHURD
2630,Lalitpur,GOVT H S VEER ,Basic Education,Pre-Secondary School Bighakhet
2631,Lalitpur,SWARSWATI MANDIR I C  MADHAVARA,Basic Education,J.H.S.K. Kargan
2632,Lalitpur,"KISAN INTER COLLEGE, LALITPUR",Basic Education,primary school tenga composite
2633,Lalitpur,SHREE CHATRSAL JI P U MV NARAHUT,Basic Education,J.H.S.C. Manguwan
2634,Lalitpur,GOVT H S DHUREE SAGAR ,secondary education,Sri Shanti Niketan E.C. Mahroni
2635,Lalitpur,GOVT HIGH SCHOOL DIDUNIYA ,secondary education,Shri C.B.Gupta I.C. Mahroni
2636,Lalitpur,JILA PARISAD H S PALI,secondary education,Shri Mardan Singh I.C. Talbehat
2637,Lalitpur,MAYA GYANODYA HIGHER SECONDARY AWASIYA SCHOOL BIRDHA,secondary education,"Government Girls High School, Talbehat"
2638,Lalitpur,GOVT H S DUHAI DUDHI,secondary education,Mr. Madan Mohan Malaviya I.C. Gudha
2639,Lalitpur,COMPOSITE VIDYALAY BANPUR ,secondary education,Sri Saraswati Mandir I.K.Madavara
2640,Lalitpur,COMPOSITE VIDYALAY BALABEHAT ,secondary education,"Shri Barni Jain Inter College, Lalitpur"
2641,Lalitpur,KASTURBA GANDHI BALIKA AWASIYA VIDHYALAY MIRCHWARA,secondary education,"Government Girls High School, Lalitpur"
2642,Lalitpur,COMPOSITE VIDYALAY DONGARA KHURD,secondary education,P.N.Eka Lalitpur
2643,Lalitpur,KASTURBA GANDHI BALIKA AWASIYA VIDHYALAY TARGUVAN,secondary education,Government E.C. Lalitpur
2644,Lalitpur,COMPOSITE VIDYALAY KARITORAN ,secondary education,Shri Raghuveer Singh Netaji I.C. Bar
2645,Lalitpur,KASTURBA GANDHI BALIKA AWASIYA VIDHYALAY BAANPUR,secondary education,State ICA Bar
2646,Lalitpur,KASTURBA GANDHI BALIKA AWASIYA VIDHYALAY KALYANPURA,secondary education,Sri Syadvad Varni Eka Gadayana
2647,Lalitpur,KASTURBA GANDHI BALIKA AWASIYA VIDHYALAY MALAIYAPURA,secondary education,Mr. Farmer I.C. Virdha
2648,Lalitpur,KASTURBA GANDHI BALIKA AWASIYA VIDHYALAY GAUNA,secondary education,Bundelkhand E.C. Jakhloun
2650,Lucknow,GOVT GIRLS INTER COLLEGE NARHI LUCKNOW,Basic Education,Ishwari Kheda Zone 1 Lucknow
2651,Lucknow,GOVT GIRLS INTER COLLEGE VIKAS NAGAR  LUCKNOW,Basic Education,Iradat Nagar Daliganj Ward Kadam Rasool Zone 2 City Area Lucknow
2652,Lucknow,GOVT GIRLS INTER COLLEGE INDRA NAGAR LUCKNOW,Basic Education,Kharika Zone 1 Municipal Area Lucknow
2653,Lucknow,GOVT GIRLS INTER COLLEGE GOMTI NAGAR LUCKNOW,Basic Education,Chillawan Zone 1 Municipal Area Lucknow
2654,Lucknow,GOVT GIRLS INTER COLLEGE SAROSA-BHAROSA LUCKNOW,Basic Education,Takhwaan Ward 50 Chinhat II Lucknow
2655,Lucknow,GOVT GIRLS INTER COLLEGE UDA DEVI MAL LUCKNOW,Basic Education,Kila Mohammadi Nagar Zone 1 Lucknow
2656,Lucknow,GOVT GIRLS INTER COLLEGE MALIHABAD LUCKNOW,Basic Education,Chinhat I Zone 2 Municipal Area Lucknow
2657,Lucknow,GOVT GIRLS INTER COLLEGE SINGAR NAGAR LUCKNOW,Basic Education,Behasa Zone 1 Municipal Area Lucknow
2658,Lucknow,RAJKEEY UP SAINIK INTER COLLEGE LUCKNOW,Basic Education,chinhat 2 lucknow
2659,Lucknow,A. P. SEN MEMORIYAL GIRLS INTER COLLEGE LUCKNOW,Basic Education,Gauri 2 Zone Municipal Area Lucknow
2660,Lucknow,GIRLS VIDHYALAY INTER COLLEGE MOTI NAGAR LUCKNOW,Basic Education,Amausi2 Zone 1 Municipal Area Lucknow
2661,Lucknow,KHUN-KHUN JI GIRLS INTER COLLEGE LUCKNOW,Basic Education,Kathuta Zone 2 Municipal Area Chinhat Lucknow
2662,Lucknow,KARAMAT HUSAIN MUSLIM GIRLS INTER COLLEGE LUCKNOW,Basic Education,Gahru Zone 1 Municipal Area Lucknow
2663,Lucknow,NAVYUG KANYA INTER COLLEGE RAJENDRA NAGAR LUCKNOW,Basic Education,Baraura Hussain Badi Lucknow
2664,Lucknow,GOVT INTER COLLEGE NISHANT NAGAR LUCKNOW,Basic Education,Village Adil Nagar Kursi Road Lucknow
2665,Lucknow,GOVT INTER COLLEGE HUSAINABAD LUCKNOW,Basic Education,Scooter India Zone 1 Municipal Area
2666,Lucknow,RAJKEEY HIGH SCHOOL MUSTEMAU LUCKNOW,Basic Education,Sugamau Post Office Lucknow
2667,Lucknow,RAJKEEY HIGH SCHOOL UTRANVA LUCKNOW,Basic Education,Hardasi Kheda Shaheed Bhagat Singh Ward Lucknow
2668,Lucknow,RAJKEEY HIGH SCHOOL SURIYAMAU LUCKNOW,Basic Education,"Amarai Village, Indira Nagar, Lucknow"
2669,Lucknow,RAJKEEY HIGH SCHOOL BAGHAULI LUCKNOW,Basic Education,Takrohi First Takrohi Village Indira Nagar Lucknow
2670,Lucknow,RAJKEEY HIGH SCHOOL JAURIYA PRABHARI LUCKNOW,Basic Education,Godian Purwa Municipal Area Lucknow
2671,Lucknow,RAJKEEY HIGH SCHOOL BETI LUCKNOW,Basic Education,Kundri Zone 4 Municipal Area Lucknow
2672,Lucknow,BAKSHI KA TALAB INTER COLLEGE LUCKNOW,Basic Education,New Aishbagh Zone 4 Municipal Area Lucknow
2673,Lucknow,KUMHRANVA INTER COLLEGE KUMHRANVA LUCKNOW,Basic Education,Ghazipur Balram Nagar Chatra Lucknow
2674,Lucknow,M. D. SHUKLA INTER COLLEGE LUCKNOW,Basic Education,Kharagpur Faridinagar Zone2 Lucknow
2675,Lucknow,MAHARAJA AGRASEN INTER COLLEGE MOTINAGAR LUCKNOW,Basic Education,Nishatganj 4th Lane Nishatganj Lucknow
2676,Lucknow,BAPPA SHRI NARAYAN VOCATIONAL INTER COLLEGE LUCKNOW,Basic Education,Launga Kheda Zone 1 Municipal Area Lucknow
2677,Lucknow,BAPU TRILOKI SINGH INTER COLLEGE KAKORI LUCKNOW,Basic Education,Puraniya 2 Zone 2 Nagar Lucknow
2678,Lucknow,LUCKNOW MANTESARI INTER COLLEGE LUCKNOW,Basic Education,Takrohi 2 Lucknow
2679,Lucknow,NAVJEEVAN INTER COLLEGE LUCKNOW ,Basic Education,Cabinet Ganj
2680,Lucknow,D. A. V. INTER COLLEGE LUCKNOW,Basic Education,Lamatrinier Purvanagar Area Lucknow
2681,Lucknow,TECNOLOGI HIGH SCHOOL LUCKNOW,Basic Education,Sikandarpur Municipal Area Zone 2 Lucknow
2682,Lucknow,JAVAHAR LAL INTER COLLEGE BAHRAULI LUCKNOW,Basic Education,Madiyanv Maharshi Nagar LLM Road Lucknow
2683,Lucknow,JAI NARAYAN INTER COLLEGE LUCKNOW,Basic Education,Farrukhabad Chillawan Zone 1 Municipal Area Lucknow
2684,Lucknow,JANTA INTER COLLEGE ALAMBAGH LUCKNOW,Basic Education,Madeyganj Zone 4 Municipal Area Lucknow
2685,Lucknow,GOPINATH LAKSHAMANDAS RASTOGI INTER COLLEGE ,secondary education,Vikas Nagar Lucknow
